"","Entidad","distrito","Clave Federal","Porcentaje Población Estatal","Porcentaje Población 60+","Densidad de Población (km²)","Estimador Viviendas Particulares","Población Autoadscrita Indígena","Población Aut. Afrodescendiente","Índice Étnico","Aprox. Distancia Mínima","ANP Cercana"
"1",1,1,101,0.3327857961,0.07850117675,98.50174779,104471,0.1133755804,0.00027701719,0.201534183271485,0.143700631374229,12
"2",1,2,102,0.3353015213,0.06118182768,1654.155789,112124,0.1122318211,0.00045444424,0.200078148096733,0.271837459309108,12
"3",1,3,103,0.3319126825,0.1188890164,456.835446,117994,0.1250545162,0.00076207965,0.220164163121309,0.333406937534468,12
"4",2,1,201,0.1280925735,0.08223909589,184.9939305,123255,0.04581788216,0.00032727059,0.0880615449460126,0.520678752483323,29
"5",2,2,202,0.1213843196,0.124914903,3487.166415,122248,0.05114514438,0.00038759497,0.0977938794515729,0.426018101626873,29
"6",2,3,203,0.1214636377,0.1004854188,8.261512268,119643,0.1908155284,0.00239109114,0.312668158050515,0.610121874284126,102
"7",2,4,204,0.1186181413,0.04030662836,462.8880944,107306,0.1095217513,0.00713686405,0.207662049328333,0.527993211109631,29
"8",2,5,205,0.1166083493,0.1027115242,4201.419441,117200,0.07533506101,0.00147163038,0.142036577824366,0.659868900099426,29
"9",2,6,206,0.1194170517,0.1000002526,3251.59053,116416,0.05704378484,0.00262906008,0.112523936073377,0.711838117333709,29
"10",2,7,207,0.1350460195,0.07219823976,21.74351554,128576,0.08862591311,0.00177542147,0.164772563270177,0.132994195977486,29
"11",2,8,208,0.1393699073,0.05944585582,3563.937109,133219,0.06856257493,0.00210985073,0.131644981420197,0.640929823095104,29
"12",3,1,301,0.537888204,0.102942098,6.15791016,116870,0.1289400301,0.01911528178,0.257199323024398,0.8087868130954,120
"13",3,2,302,0.462111796,0.05650124454,33.73649008,92964,0.1630546109,0.01127836687,0.29155996070684,0.0303373751623278,95
"14",4,1,401,0.4999905548,0.1044033096,14.93204057,120074,0.5554108504,0.00170460733,0.495369163790092,0.491680143136889,16
"15",4,2,402,0.5000094452,0.08658500269,17.56197416,124397,0.3353527093,0.00619369119,0.453939055846917,0.495527481466523,132
"16",5,1,501,0.1408998228,0.08464814205,17.03201994,116307,0.05265559737,0.00081182283,0.101302804386458,0.370669902408946,67
"17",5,2,502,0.142815614,0.09796733711,5.254048636,114169,0.06349879623,0.00321557885,0.124935505247685,0.371204583116849,123
