"","ï..CVE_FED","CVE_ENT","distrito","MI","Indigena","Complejidad","IND_002","IND_002_LI","IND_002_LS","IND_002_EE","IND_002_CV","IND_824","IND_824_LI","IND_824_LS","IND_824_EE","IND_824_CV","IND_047","IND_047_LI","IND_047_LS","IND_047_EE","IND_047_CV","IND_055","IND_055_LI","IND_055_LS","IND_055_EE","IND_055_CV","IND_141","IND_141_LI","IND_141_LS","IND_141_EE","IND_141_CV","IND_128","IND_128_LI","IND_128_LS","IND_128_EE","IND_128_CV","Ethnic","ANP_Cercana","dist_min","c_ANPCercana","c_distmin"
"14",401,4,1,"","NO","Dispersos 1",49.99905548,47.9701417,52.02797238,1.233588791,2.467224189,10.44033096,9.655644132,11.28082454,0.493514642,4.727001885,14.93204057,13.98445215,15.87962899,0.575821256,3.856279743,120074,112236.5468,127911.4532,4762.58684,3.966376435,55.54108504,53.23427006,57.82426238,1.395568937,2.512678562,0.170460733,0.11214132,0.259030672,0.043361709,25.43794578,44.28845423,16,0,16,83219.985207813
"15",402,4,2,"","NO","Muy dispersos 1",50.00094452,47.97202762,52.0298583,1.233588791,2.467130977,8.658500269,8.158183314,9.186431119,0.312302315,3.606886934,17.56197416,16.67228551,18.45166281,0.540637292,3.078453976,124397,118097.0333,130696.9667,3828.302134,3.077487507,33.53527093,31.55590409,35.57426346,1.22147701,3.642365115,0.619369119,0.446506234,0.858577932,0.123054241,19.86767452,65.84535995,132,0,132,83860.7189155277
"16",501,5,1,"","NO","Dispersos 1",14.08998228,13.49295847,14.708931,0.369527661,2.622626871,8.464814205,8.021660446,8.930072918,0.276009007,3.260662322,17.03201994,16.35335988,17.71068,0.412529893,2.422084372,116307,111985.4563,120628.5437,2626.890938,2.258583695,5.265559737,4.518516483,6.128184156,0.487752443,9.263069221,0.081182283,0.050371393,0.130814739,0.0235483,29.0066988,94.65325798,79,0,67,63067.0031797327
"17",502,5,2,"","NO","Muy dispersos 2",14.2815614,13.79108735,14.78648705,0.302509414,2.118181659,9.796733711,9.455942248,10.14843066,0.210442507,2.148088468,5.254048636,5.116406213,5.39169106,0.08366724,1.592433677,114169,111319.975,117018.025,1731.806621,1.516879907,6.349879623,5.85838306,6.879597605,0.310132749,4.88407288,0.321557885,0.264508257,0.39086386,0.038163447,11.86829782,93.32856249,13,0,123,63156.0486244184
"18",503,5,3,"","NO","Concentracion Media",14.17130442,13.5663024,14.7986676,0.374509121,2.642728645,10.53659701,9.952667148,11.1505441,0.36396409,3.454284996,21.86796066,20.98482711,22.7510942,0.536821019,2.454828904,118759,114366.8522,123151.1478,2669.808298,2.248089238,5.304597015,4.562131655,6.16009588,0.484251145,9.128896014,0.018865672,0.010086312,0.035284092,0.007180306,38.06016446,94.67653731,13,0,13,108640.46155144
"19",504,5,4,"","NO","Concentrados 2",15.17393901,13.60552251,16.887817,0.996974313,6.570306574,8.579387435,7.649855072,9.610113602,0.594964,6.934807458,248.2428406,219.0695127,277.4161686,17.73328138,7.143521776,120851,107391.3981,134310.6019,8181.545407,6.769944317,6.823722002,5.767967175,8.056198703,0.693165515,10.15817343,0.113966595,0.078548323,0.165328917,0.025778951,22.6197433,93.0623114,14,0,14,33624.6014877656
"20",505,5,5,"","NO","Altamente concentrado 2",12.44949516,11.33135848,13.66096662,0.707572327,5.683542328,15.55894442,14.45354967,16.73234337,0.692409703,4.450235724,4358.663652,3938.14555,4779.181755,255.6158781,5.864546992,105976,95945.53068,116006.4693,6097.114983,5.753297901,5.837356472,4.628409282,7.337786739,0.817990819,14.01303524,0.008426844,0.00248504,0.028571617,0.006254834,74.22510481,94.15421668,72,77798.8303,72,123570.609863334
"21",506,5,6,"","NO","Concentracion Media",14.95339121,13.51248515,16.51860206,0.913146292,6.106616744,6.248132893,5.737827778,6.800548704,0.322706002,5.164838967,73.30808127,65.22997872,81.38618382,4.910350505,6.698239021,118550,104812.3031,132287.6969,8350.588058,7.043937628,10.83397456,9.525180972,12.29815651,0.841580748,7.767977889,0.013805278,0.005196946,0.036667402,0.00819808,59.38366632,89.15222016,72,70347.78283,72,167875.307585939
"22",507,5,7,"","NO","Dispersos 1",14.88032651,13.47150313,16.40854306,0.892175554,5.995671893,9.684535628,8.863367734,10.57295649,0.51920292,5.361154525,23.08516053,20.67773311,25.49258795,1.463377369,6.33903917,114663,102942.0796,126383.9204,7124.671526,6.21357502,7.736166167,6.698077306,8.919760379,0.673689428,8.708311242,0.087332073,0.050214589,0.151844279,0.029372274,33.63285971,92.17650176,13,5058.653867,14,139810.694827752
"23",601,6,1,"","NO","Concentrados 2",50.53294621,48.91070866,52.15406239,0.985655903,1.950521346,11.28550283,10.7437724,11.85092199,0.336276633,2.979722201,154.7965136,148.9140479,160.6789792,3.574111273,2.308909413,108056,103937.8704,112174.1296,2502.123125,2.31558,18.97147531,17.88471742,20.10809887,0.675403544,3.560100271,0.059542359,0.04198872,0.084428203,0.012635043,21.22025892,80.96898233,141,0,64,9867.41277352207
