"","CVE_FED","entidad","distrito","ANP_Cercana","dist_min"
"1",101,1,1,15,0
"2",102,1,2,12,12212.4062195781
"3",103,1,3,15,0
"4",301,3,1,43,0
"5",302,3,2,118,0
"6",401,4,1,16,0
"7",402,4,2,132,0
"8",501,5,1,79,0
"9",502,5,2,13,0
"10",503,5,3,13,0
"11",504,5,4,14,0
"12",505,5,5,72,77798.8302974784
"13",506,5,6,72,70347.7828309224
"14",507,5,7,13,5058.65386704473
"15",601,6,1,141,0
"16",602,6,2,178,0
